Pathways	Object ID	Sub-Pathways
superpathway of menaquinol-11 biosynthesis	PWY-5897	"all <i>trans</i> undecaprenyl diphosphate biosynthesis"" // ""menaquinol-11 biosynthesis"" // ""2-carboxy-1,4-naphthoquinol biosynthesis"
ethylene glycol degradation	PWY0-1280	
coelimycin P1 biosynthesis	PWY-7880	
pyruvate fermentation to hexanol (engineered)	PWY-6863	
vernolate biosynthesis II	PWY-7634	
dTDP-4-<i>O</i>-demethyl-&beta;-L-noviose biosynthesis	PWY-7301	
(aminomethyl)phosphonate degradation	PWY-7805	
trypanothione biosynthesis	TRYPANOSYN-PWY	
hypoglycin biosynthesis	PWY-5826	
superpathway of glycol metabolism and degradation	GLYCOL-GLYOXDEG-PWY	"ethylene glycol degradation"" // ""glycolate and glyoxylate degradation I"" // ""glycolate and glyoxylate degradation II"
aspyridone A biosynthesis	PWY-7565	
superpathway of fermentation (<i>Chlamydomonas reinhardtii</i>)	PWY4LZ-257	"pyruvate fermentation to ethanol II"" // ""pyruvate fermentation to ethanol I"" // ""pyruvate fermentation to acetate VII"
(3<i>E</i>)-4,8-dimethylnona-1,3,7-triene biosynthesis II	PWY-6007	
phosphate acquisition	PWY-6348	
ectoine biosynthesis	P101-PWY	
rhamnolipid biosynthesis	PWY-6648	
cyclohexanol degradation	CYCLOHEXANOL-OXIDATION-PWY	
(3<i>E</i>)-4,8-dimethylnona-1,3,7-triene biosynthesis I	PWY-5434	
menaquinol-8 biosynthesis	MENAQUINONESYN-PWY	
saliniketal A biosynthesis	PWY-8037	
pyruvate fermentation to acetone	PWY-6588	
thiocyanate degradation I	P581-PWY	
dTDP-<i>N</i>-acetylviosamine biosynthesis	PWY-7316	
2-aminoethylphosphonate degradation III	PWY-7447	
glutathionylspermidine biosynthesis	PWY-4121	
anditomin biosynthesis	PWY-7599	
(<i>S</i>)-propane-1,2-diol degradation	PWY-7013	
methanol oxidation to formaldehyde IV	PWY-5506	
superpathway of <i>Clostridium acetobutylicum</i> acidogenic and solventogenic fermentation	PWY-6604	"superpathway of <i>Clostridium acetobutylicum</i> solventogenic fermentation"" // ""superpathway of <i>Clostridium acetobutylicum</i> acidogenic fermentation"
raspberry ketone biosynthesis	PWY-5393	
2-aminoethylphosphonate degradation II	PWY-6832	
histamine biosynthesis	PWY-6173	
toxoflavin biosynthesis	PWY-7991	
superpathway of menaquinol-8 biosynthesis II	PWY-6263	"1,4-dihydroxy-6-naphthoate biosynthesis I"" // ""octaprenyl diphosphate biosynthesis"" // ""menaquinol-8 biosynthesis"" // ""demethylmenaquinol-8 biosynthesis II"
phytol degradation	PWY66-389	
5-methoxy-6-methylbenzimidazole biosynthesis (anaerobic)	PWY-8095	
pederin biosynthesis	PWY-8049	
pyruvate fermentation to opines	PWY-7351	
formaldehyde oxidation VI (H<sub>4</sub>MPT pathway)	PWY-1723	
thiocyanate degradation II	PWY-743	
dTDP-6-deoxy-&alpha;-D-allose biosynthesis	PWY-7413	
5-hydroxybenzimidazole biosynthesis (anaerobic)	PWY-8097	
superpathway of polyamine biosynthesis III	PWY-6565	"norspermidine biosynthesis"" // ""spermidine biosynthesis II"
2-aminoethylphosphonate degradation I	PHOSPHONOTASE-PWY	
versicolorin B biosynthesis	PWY-5955	
polyvinyl alcohol degradation	PWY-6464	
5-methoxybenzimidazole biosynthesis (anaerobic)	PWY-8096	
methanol oxidation to formaldehyde I	PWY-6966	
pyruvate fermentation to butanoate	CENTFERM-PWY	
barbaloin biosynthesis	PWY-6312	
formaldehyde oxidation VII (THF pathway)	PWY-7909	
PRPP biosynthesis	PWY0-662	
5,6-dimethylbenzimidazole biosynthesis II (anaerobic)	PWY-7729	
creatine biosynthesis	GLYCGREAT-PWY	
superpathway of quinolone and alkylquinolone biosynthesis	PWY-6662	"4-hydroxy-2(1<i>H</i>)-quinolone biosynthesis"" // ""2-heptyl-3-hydroxy-4(1<i>H</i>)-quinolone biosynthesis"
superpathway of menaquinol-7 biosynthesis	PWY-5840	"menaquinol-7 biosynthesis"" // ""heptaprenyl diphosphate biosynthesis"" // ""2-carboxy-1,4-naphthoquinol biosynthesis"
5,6-dimethylbenzimidazole biosynthesis I (aerobic)	PWY-5523	
fusaric acid biosynthesis	PWY-7672	
superpathway of <i>Clostridium acetobutylicum</i> solventogenic fermentation	PWY-6594	"pyruvate fermentation to acetone"" // ""pyruvate fermentation to ethanol III"" // ""pyruvate fermentation to butanol I"
formaldehyde oxidation IV (thiol-independent)	FORMASS-PWY	
thyroid hormone metabolism II (via conjugation and/or degradation)	PWY-6261	
superpathway of polyamine biosynthesis I	POLYAMSYN-PWY	"aminopropylcadaverine biosynthesis"" // ""spermidine biosynthesis I"" // ""putrescine biosynthesis III"" // ""putrescine biosynthesis I"
grixazone biosynthesis	PWY-7153	
methanol and methylamine oxidation to formaldehyde	PWY-1701	"methylamine degradation I"" // ""methanol oxidation to formaldehyde I"
pyruvate fermentation to isobutanol (engineered)	PWY-7111	
bikaverin biosynthesis	PWY-7692	
taxadiene biosynthesis (engineered)	PWY-7392	"geranylgeranyl diphosphate biosynthesis"" // ""methylerythritol phosphate pathway I"" // ""<i>trans, trans</i>-farnesyl diphosphate biosynthesis"
formaldehyde oxidation V (bacillithiol-dependent)	PWY-7908	
aurachin A, B, C and D biosynthesis	PWY-7407	
arabidopyrone biosynthesis	PWY-7682	
creatine-phosphate biosynthesis	PWY-6158	
shinorine biosynthesis	PWY-7751	
diterpene phytoalexins precursors biosynthesis	PWY-2981	
aurachin RE biosynthesis	PWY-7405	
menaquinol-4 biosynthesis II	PWY-7998	
salinosporamide A biosynthesis	PWY-6627	
superpathway of <i>Clostridium acetobutylicum</i> acidogenic fermentation	PWY-6590	"pyruvate fermentation to acetate I"" // ""pyruvate fermentation to butanoate"
formaldehyde oxidation II (glutathione-dependent)	PWY-1801	
phytocassanes biosynthesis, shared reactions	PWY-7484	
spinosyn A biosynthesis	PWY-7100	
thyroid hormone metabolism I (via deiodination)	PWY-6260	
yangonin biosynthesis	PWY-8104	
coniferin metabolism	PWY-116	
anthranilate degradation III (anaerobic)	2AMINOBENZDEG-PWY	
norspermidine biosynthesis	PWY-6562	
bryostatin biosynthesis	PWY-8047	
taxol biosynthesis	PWY-5660	
deethylsimazine degradation	PWY-5726	
methanol oxidation to formaldehyde II	PWY-6510	
pyruvate fermentation to (<i>S</i>)-acetoin	PWY-6389	
formaldehyde oxidation III (mycothiol-dependent)	PWY1G-170	
carnosate bioynthesis	PWY-7680	
pentaketide chromone biosynthesis	PWY-12	
<i>N</i>-cyclopropylmelamine degradation	PWY-5171	
epoxypseudoisoeugenol-2-methylbutanoate biosynthesis	PWY-5882	
anthranilate degradation IV (aerobic)	PWY-6504	
aminopropylcadaverine biosynthesis	PWY0-1303	
enterobacterial common antigen biosynthesis	ECASYN-PWY	"UDP-<i>N</i>-acetyl-&alpha;-D-mannosaminouronate biosynthesis"" // ""dTDP-<i>N</i>-acetylthomosamine biosynthesis"
labdane-type diterpenes biosynthesis	PWY-6645	
menaquinol-6 biosynthesis	PWY-5849	
melamine degradation	PWY-5170	
bassianin and desmethylbassianin biosynthesis	PWY-7563	
pyruvate fermentation to (<i>R</i>)-acetoin II	PWY-5939	
L-citrulline biosynthesis	CITRULBIO-PWY	
<i>cis</i>-abienol biosynthesis	PWY18C3-13	
pyridoxal 5'-phosphate biosynthesis II	PWY-6466	
atrazine degradation I (aerobic)	P141-PWY	
6-gingerol biosynthesis	PWY-6835	
monolignol glucosides biosynthesis	PWY-83	
anthranilate degradation I (aerobic)	PWY-6079	
spermine biosynthesis	ARGSPECAT-PWY	
kauralexin biosynthesis	PWY-6887	<i>ent</i>-kaurene biosynthesis I
atrazine degradation III	PWY-5731	
methanol oxidation to formaldehyde III	PWY-6509	
pyruvate fermentation to (<i>R</i>)-acetoin I	PWY-5938	
aloesone biosynthesis II	PWY-6310	
cembratrienediol biosynthesis	PWY18C3-7	
superpathway of L-citrulline metabolism	PWY-5004	"L-citrulline biosynthesis"" // ""urea cycle"" // ""nitric oxide biosynthesis II (mammals)"
atrazine degradation II	PWY-5727	
coniferyl alcohol 9-methyl ester biosynthesis	PWY-7643	
ureide biosynthesis	URSIN-PWY	"urate conversion to allantoin I"" // ""inosine 5'-phosphate degradation"
anthranilate degradation II (aerobic)	PWY-6077	
Kdo transfer to lipid IV<sub>A</sub> I (E. coli)	KDOSYN-PWY	
steviol glucoside biosynthesis (rebaudioside A biosynthesis)	PWY-7071	
menaquinol-11 biosynthesis	PWY-5891	
superpathway of atrazine degradation	PWY-5724	"cyanuric acid degradation II"" // ""atrazine degradation I (aerobic)"
aromatic polyketides biosynthesis	PWY-6316	
pyruvate fermentation to acetoin III	PWY3O-440	
cyclooctatin biosynthesis	PWY-7482	
pyridoxal 5'-phosphate biosynthesis I	PYRIDOXSYN-PWY	
kavain biosynthesis	PWY-8103	
superpathway of polyamine biosynthesis II	POLYAMINSYN3-PWY	"spermidine biosynthesis I"" // ""putrescine biosynthesis III"" // ""putrescine biosynthesis II"
dihydroconiferyl alcohol biosynthesis	PWY-6302	
A series fagopyritols biosynthesis	PWY-5380	
superpathway of geranylgeranyl diphosphate biosynthesis II (via MEP)	PWY-5121	"geranylgeranyl diphosphate biosynthesis"" // ""<i>trans, trans</i>-farnesyl diphosphate biosynthesis"" // ""methylerythritol phosphate pathway I"
8-<i>O</i>-methylfusarubin biosynthesis	PWY-7689	
lolitrem B biosynthesis	PWY-7572	
superpathway of methylsalicylate metabolism	PWY18C3-25	methylsalicylate biosynthesis
homospermidine biosynthesis	PWY-5907	
Kdo8N transfer to lipid IV<sub>A</sub>	PWY-7676	
B series fagopyritols biosynthesis	PWY-5379	
superpathway of menaquinol-10 biosynthesis	PWY-5896	"all-<i>trans</i>-decaprenyl diphosphate biosynthesis"" // ""menaquinol-10 biosynthesis"" // ""2-carboxy-1,4-naphthoquinol biosynthesis"
casbene biosynthesis	PWY-6304	
phenylphenalenone biosynthesis	PWY-6438	
dolabralexins biosynthesis	PWY-7994	
pyridoxal 5'-phosphate salvage I	PLPSAL-PWY	
volatile esters biosynthesis (during fruit ripening)	PWY-6801	
phenylpropanoid biosynthesis	PWY-361	
serinol biosynthesis	PWY-6456	
D-sorbitol biosynthesis I	PWY-5054	
plaunotol biosynthesis	PWY-6691	
tenellin biosynthesis	PWY-7561	
labdenediol and sclareol biosynthesis	PWY18C3-18	
phenylpropanoids methylation (ice plant)	PWY-7498	
glycine betaine biosynthesis I (Gram-negative bacteria)	BETSYN-PWY	
cyanophycin metabolism	PWY-7052	
Kdo transfer to lipid IV<sub>A</sub> II (Haemophilus)	PWY-7675	
triacylsucrose biosynthesis (<i>Solanum</i>)	PWY18C3-10	
superpathway of menaquinol-13 biosynthesis	PWY-5899	"tridecaprenyl diphosphate biosynthesis"" // ""menaquinol-13 biosynthesis"" // ""2-carboxy-1,4-naphthoquinol biosynthesis"
superpathway of methylglyoxal degradation	METHGLYUT-PWY	"methylglyoxal degradation IV"" // ""methylglyoxal degradation III"" // ""methylglyoxal degradation I"
steviol biosynthesis	PWY-7070	
aloesone biosynthesis I	PWY-4801	
oryzalide A biosynthesis	PWY-7481	
pyridoxal 5'-phosphate salvage II (plants)	PWY-7204	
superpathway of kavalactone biosynthesis	PWY-8094	"yangonin biosynthesis"" // ""kavain biosynthesis"
L-leucine degradation I	LEU-DEG2-PWY	
glycine betaine biosynthesis II (Gram-positive bacteria)	PWY-3722	
polyhydroxybutanoate biosynthesis	PWY1-3	
acylsucrose biosynthesis (<i>Solanum pennellii</i>)	PWY18C3-15	
phytol salvage pathway	PWY-5107	
triacylglycerol degradation	LIPAS-PWY	
brassicicene C biosynthesis	PWY-7517	
phenylpropanoid volatiles glycoconjugation (tomato)	PWY18C3-21	
glycine betaine biosynthesis III (plants)	PWY1F-353	
polyhydroxydecanoate biosynthesis	PWY-6657	
Kdo transfer to lipid IV<SUB>A</SUB> III (Chlamydia)	PWY-6467	Kdo transfer to lipid IV<sub>A</sub> I (E. coli)
monoacylsucrose biosynthesis (<i>Solanum</i>)	PWY18C3-8	
superpathway of geranylgeranyldiphosphate biosynthesis I (via mevalonate)	PWY-5910	"geranylgeranyl diphosphate biosynthesis"" // ""<i>trans, trans</i>-farnesyl diphosphate biosynthesis"" // ""mevalonate pathway I"
menaquinol-7 biosynthesis	PWY-5839	
phospholipases	LIPASYN-PWY	
methyl phomopsenoate biosynthesis	PWY-7721	
UTP and CTP dephosphorylation I	PWY-7185	
curcumin glucoside biosynthesis	PWY-4421	
L-leucine degradation IV (Stickland reaction)	PWY-7767	
glycine betaine biosynthesis IV (from glycine)	P541-PWY	
photosynthetic 3-hydroxybutanoate biosynthesis (engineered)	PWY-7218	"photosynthesis light reactions"" // ""Calvin-Benson-Bassham cycle"" // ""(R)- and (S)-3-hydroxybutanoate biosynthesis (engineered)"
superpathway of acylsucrose biosynthesis (cultivated tomato)	PWY18C3-12	"tetraacylsucrose biosynthesis (<i>Solanum</i>)"" // ""triacylsucrose biosynthesis (<i>Solanum</i>)"" // ""diacylsucrose biosynthesis (<i>Solanum</i>)"" // ""monoacylsucrose biosynthesis (<i>Solanum</i>)"
fusicoccin A biosynthesis	PWY-6659	
Fe(II) oxidation	PWY-6692	
glycerol degradation I	PWY-4261	
superpathway of glandular trichomes produced diterpenoids (tobacco)	PWY18C3-14	"labdenediol and sclareol biosynthesis"" // ""<i>cis</i>-abienol biosynthesis"" // ""cembratrienediol biosynthesis"
caffeoylglucarate biosynthesis	PWY-6673	
glycine betaine biosynthesis V (from glycine)	PWY-6004	
(R)- and (S)-3-hydroxybutanoate biosynthesis (engineered)	PWY-7216	
Kdo transfer to lipid IV<sub>A</sub> IV (<i>P. putida</i>)	PWY-8074	
superpathway of acylsucrose biosynthesis (wild tomato)	PWY18C3-17	"acylsucrose biosynthesis (<i>Solanum habrochaites</i>)"" // ""acylsucrose biosynthesis (<i>Solanum pennellii</i>)"
2&alpha;,7&beta;-dihydroxylation of taxusin	PWY-7065	
menaquinol-4 biosynthesis I	PWY-7996	
mitochondrial L-carnitine shuttle	PWY-6111	
UTP and CTP dephosphorylation II	PWY-7177	
benzoyl-&beta;-<i>D</i>-glucopyranose biosynthesis	PWY-7468	
L-leucine degradation III	PWY-5076	
(R,R)-butanediol degradation	PWY3O-246	
tetraacylsucrose biosynthesis (<i>Solanum</i>)	PWY18C3-11	
iron reduction and absorption	PWY-5934	
3-phosphoinositide degradation	PWY-6368	
androstenedione degradation	PWY-6944	
(S,S)-butanediol degradation	PWY-6388	
galactolipid biosynthesis II	PWY-7666	
acylsucrose biosynthesis (<i>Solanum habrochaites</i>)	PWY18C3-16	
superpathway of menaquinol-9 biosynthesis	PWY-5845	"demethylmenaquinol-9 biosynthesis"" // ""nonaprenyl diphosphate biosynthesis I"" // ""menaquinol-9 biosynthesis"" // ""2-carboxy-1,4-naphthoquinol biosynthesis"
methanogenesis from dimethylsulfide	PWY-5258	
phosphatidylglycerol degradation	PWY-7366	
2-carboxy-1,4-naphthoquinol biosynthesis	PWY-5837	
dimethyl sulfide biosynthesis from methionine	PWY-7793	
L-leucine degradation II	PWY-5075	
testosterone and androsterone degradation to androstendione	PWY-6943	
diacylsucrose biosynthesis (<i>Solanum</i>)	PWY18C3-9	
queuosine biosynthesis II (queuine salvage)	PWY-8105	
ethanedisulfonate degradation	PWY-6043	
phosphatidylcholine resynthesis via glycerophosphocholine	PWY-7367	
dimethyl sulfone degradation	PWY-6058	
superpathway of testosterone and androsterone degradation	PWY-6937	"testosterone and androsterone degradation to androstendione"" // ""androstenedione degradation"
glycolipid desaturation	PWY-782	
queuosine biosynthesis I (<i>de novo</i>)	PWY-6700	
menaquinol-10 biosynthesis	PWY-5890	
sulfoacetate degradation	PWY-6593	
plasmalogen degradation	PWY-7783	
chorismate biosynthesis II (archaea)	PWY-6165	"chorismate biosynthesis from 3-dehydroquinate"" // ""3-dehydroquinate biosynthesis II (archaea)"
sulfur volatiles biosynthesis	PWY-6736	
sitosterol degradation to androstenedione	PWY-6948	
queuosine biosynthesis III (queuosine salvage)	PWY-8106	
isethionate degradation	PWY-2601	
anandamide lipoxygenation	PWY-8056	
chorismate biosynthesis from 3-dehydroquinate	PWY-6163	
3,3'-thiodipropanoate degradation	PWY-7465	
glycocholate metabolism (bacteria)	PWY-6518	
polyacyltrehalose biosynthesis	PWY-7738	
menaquinol-13 biosynthesis	PWY-5895	
superpathway of sulfate assimilation and cysteine biosynthesis	SULFATE-CYS-PWY	"L-serine biosynthesis I"" // ""L-cysteine biosynthesis I"" // ""assimilatory sulfate reduction I"
cocaine biosynthesis	PWY-5843	
anandamide degradation	PWY6666-1	
chorismate biosynthesis I	ARO-PWY	"chorismate biosynthesis from 3-dehydroquinate"" // ""3-dehydroquinate biosynthesis I"
tRNA splicing II	PWY-7803	
thiamine diphosphate biosynthesis III (Staphylococcus)	PWY-6907	
dimethyl sulfoxide degradation	PWY-6050	
bile acids degradation	PWY-7754	
superpathway of phylloquinol biosynthesis	PWY-5863	"geranylgeranyl diphosphate biosynthesis"" // ""phytyl diphosphate biosynthesis"" // ""2-carboxy-1,4-naphthoquinol biosynthesis"" // ""phylloquinol biosynthesis"
homotaurine degradation	PWY-6321	
sophorosyloxydocosanoate deacetylation	SOPHOROSYLOXYDOCOSANOATE-DEG-PWY	
(<i>R</i>)-cysteate degradation	PWY-6642	
glucosylglycerol biosynthesis	PWY-7902	
two-component alkanesulfonate monooxygenase	ALKANEMONOX-PWY	
calystegine biosynthesis	PWY-5318	
acetone degradation III (to propane-1,2-diol)	PWY-7466	
tRNA splicing I	PWY-6689	
thiamine diphosphate biosynthesis I (E. coli)	PWY-6894	
3,3'-disulfanediyldipropannoate degradation	PWY-7462	
UTP and CTP <i>de novo</i> biosynthesis	PWY-7176	
methanogenesis from methylthiopropanoate	PWY-5260	
acetone degradation II (to acetoacetate)	PWY-5533	
4,4'-disulfanediyldibutanoate degradation	PWY-7898	
galactolipid biosynthesis I	PWY-401	
superpathway of pyrimidine ribonucleotides <i>de novo</i> biosynthesis	PWY0-162	"UTP and CTP <i>de novo</i> biosynthesis"" // ""UMP biosynthesis I"
methanesulfonate degradation	PWY-6044	
hyoscyamine and scopolamine biosynthesis	PWY-5317	
acetone degradation I (to methylglyoxal)	PWY-5451	
thiamine diphosphate biosynthesis II (Bacillus)	PWY-6893	
superpathway of dimethylsulfone degradation	PWY-6072	"dimethyl sulfide degradation I"" // ""dimethyl sulfoxide degradation"" // ""dimethyl sulfone degradation"
propane degradation II	PWY-7775	
3-sulfopropanediol degradation	PWY-6634	
assimilatory sulfate reduction III	PWY-6683	
&alpha;-diglucosyldiacylglycerol biosynthesis	PWY-7684	
propane degradation I	PWY-7774	
assimilatory sulfate reduction II	SULFMETII-PWY	
colchicine biosynthesis	PWY-5846	
thiamine diphosphate biosynthesis IV (eukaryotes)	PWY-6908	
assimilatory sulfate reduction I	SO4ASSIM-PWY	sulfate activation for sulfonation
2,3-<i>trans</i>-flavanols biosynthesis	PWY-6029	
hypericin biosynthesis	PWY-5780	
chrysoeriol biosynthesis	PWY-6232	
phosphatidylinositol mannoside biosynthesis	PWY-7885	
tea aroma glycosidic precursor bioactivation	PWY-7114	
alizarin biosynthesis	PWY-5802	
L-ascorbate degradation IV	PWY-6704	
tetrathionate oxidation	PWY-6327	
L-ascorbate degradation II (bacterial, aerobic)	PWY-6961	
echinatin biosynthesis	PWY-6325	
autoinducer AI-2 degradation	PWY0-1569	
asterrate biosynthesis	PWY-7080	
L-ascorbate degradation III	PWY-6960	
L-ascorbate degradation V	PWY-6959	
phloridzin biosynthesis	PWY-6515	
5-hydroxymethylfurfural degradation	PWY-6995	
shikonin biosynthesis	PWY-5701	
L-ascorbate degradation I (bacterial, anaerobic)	PWY0-301	
4-nitrophenol degradation II	PWY-5488	
flavonoid biosynthesis (in equisetum)	PWY-6787	
curcumin degradation	PWY0-1527	
lawsone biosynthesis	PWY-5801	
oxalate degradation III	PWY-6696	
naringenin biosynthesis (engineered)	PWY-7397	
salmochelin degradation	PWY-8022	
geodin biosynthesis	PWY-7079	
oxalate degradation VI	PWY-7985	
methylhalides biosynthesis (plants)	PWY-6730	
4-nitrophenol degradation I	PWY-5487	
flavonoid di-C-glucosylation	PWY-7897	
L-idonate degradation	IDNCAT-PWY	
chrysophanol biosynthesis	PWY-5371	
oxalate degradation II	PWY-6695	
ophthalmate biosynthesis	PWY-8043	
L-lyxonate degradation	PWY-7516	
flavonoid biosynthesis	PWY1F-FLAVSYN	
D-galactonate degradation	GALACTCAT-PWY	
juglone biosynthesis	PWY-5795	
<i>threo</i>-tetrahydrobiopterin biosynthesis	PWY-6983	
oxalate degradation V	PWY-6698	
eumelanin biosynthesis	PWY-6498	
2-nitrophenol degradation	PWY-5636	
D-fructuronate degradation	PWY-7242	
luteolinidin 5-<i>O</i>-glucoside biosynthesis	PWY-7252	
L-galactonate degradation	PWY0-1306	
sorgoleone biosynthesis	PWY-5987	
oxalate degradation I	PWY-6694	
pheomelanin biosynthesis	PWY-7917	
ketogluconate metabolism	KETOGLUCONMET-PWY	L-idonate degradation
pelargonidin diglucoside biosynthesis (acyl-glucose dependent)	PWY-7259	
L-gulonate degradation	PWY-7566	
atromentin biosynthesis	PWY-7518	
<i>erythro</i>-tetrahydrobiopterin biosynthesis II	PWY-5664	
oxalate degradation IV	PWY-6697	
L-dopa and L-dopachrome biosynthesis	PWY-6481	
D-glucuronate degradation I	PWY-5525	
anthocyanin biosynthesis (delphinidin 3-O-glucoside)	PWY-5153	
superpathway of &beta;-D-glucuronosides degradation	GLUCUROCAT-PWY	"&beta;-D-glucuronide and D-glucuronate degradation"" // ""D-fructuronate degradation"
drosopterin and aurodrosopterin biosynthesis	PWY-7442	
&beta;-D-glucuronide and D-glucuronate degradation	PWY-7247	
rose anthocyanin biosynthesis II (via cyanidin 3-<i>O</i>-&beta;-<i>D</i>-glucoside)	PWY-7262	
D-glucuronate degradation II	PWY-6501	
erythro-tetrahydrobiopterin biosynthesis I	PWY-5663	
methylphosphonate biosynthesis	PWY-8067	
shisonin biosynthesis	PWY-5284	
fructoselysine and psicoselysine degradation	PWY0-521	
8-amino-7-oxononanoate biosynthesis II	PWY-7147	
acylated cyanidin galactoside biosynthesis	PWY-7449	
superpathway of microbial D-galacturonate and D-glucuronate degradation	PWY-6516	"4-deoxy-L-<i>threo</i>-hex-4-enopyranuronate degradation"" // ""D-galactarate degradation I"" // ""D-glucarate degradation II"" // ""<i>D</i>-glucarate degradation I"" // ""D-galactarate degradation II"" // ""D-glucuronate degradation II"" // ""D-galacturonate degradation III"" // ""D-galacturonate degradation II"" // ""D-galacturonate degradation I"" // ""superpathway of &beta;-D-glucuronosides degradation"
L-ornithine biosynthesis II	ARGININE-SYN4-PWY	
8-amino-7-oxononanoate biosynthesis III	PWY-6578	
gentiodelphin biosynthesis	PWY-5307	
4-deoxy-L-<i>threo</i>-hex-4-enopyranuronate degradation	PWY-6507	
D-glucarate degradation II	PWY-6499	
superpathway of plastoquinol biosynthesis	PWY-5864	"4-hydroxyphenylpyruvate biosynthesis"" // ""nonaprenyl diphosphate biosynthesis I"" // ""plastoquinol-9 biosynthesis I"
8-amino-7-oxononanoate biosynthesis I	PWY-6519	
<i>D</i>-glucarate degradation I	GLUCARDEG-PWY	
violdelphin biosynthesis	PWY-7458	
cephamycin C biosynthesis	PWY-5633	
fructosyllysine and glucosyllysine metabolism	PWY1QP9-2	
D-galacturonate degradation III	PWY-6491	
L-<i>N<sup>&delta;</sup></i>-acetylornithine biosynthesis	PWY-6922	
plastoquinol-9 biosynthesis I	PWY-1581	
D-galacturonate degradation II	PWY-6486	
sulfoquinovose degradation I	PWY-7446	
superpathway of anthocyanin biosynthesis (from cyanidin and cyanidin 3-<i>O</i>-glucoside)	PWY-5313	rose anthocyanin biosynthesis I (via cyanidin 5-<i>O</i>-&beta;-<i>D</i>-glucoside)
rebeccamycin biosynthesis	PWY-6324	
D-galacturonate degradation I	GALACTUROCAT-PWY	
plastoquinol-9 biosynthesis II	PWY-6978	
sulfoquinovose degradation II	PWY-7722	
anthocyanidin acylglucoside and acylsambubioside biosynthesis	PWY-7679	
paromomycin biosynthesis	PWY-7018	
L-ornithine biosynthesis I	GLUTORN-PWY	
trehalose biosynthesis IV	PWY-2622	
paromamine biosynthesis I	PWY-7014	
cyanidin diglucoside biosynthesis (acyl-glucose dependent)	PWY-7256	
prodigiosin biosynthesis	PWY-7547	
D-galactarate degradation I	GALACTARDEG-PWY	
paromamine biosynthesis II	PWY-7022	
D-galactarate degradation II	PWY-6497	
pelargonidin conjugates biosynthesis	PWY-5139	
sch210971 and sch210972 biosynthesis	PWY-7702	
D-arabinose degradation II	DARABCAT-PWY	
trehalose biosynthesis VII	PWY-5985	
D-arabinose degradation III	PWY-5519	
anthocyanidin 3-malylglucoside biosynthesis (acyl-glucose dependent)	PWY-7261	
roseoflavin biosynthesis	PWY-7863	
D-arabinose degradation I	DARABCATK12-PWY	
glycolate and glyoxylate degradation I	GLYCOLATEMET-PWY	
acetyl-CoA biosynthesis II (NADP-dependent pyruvate dehydrogenase)	PWY-6970	
icosapentaenoate biosynthesis VI (fungi)	PWY-6940	
salvianin biosynthesis	PWY-5268	
(5<i>R</i>)-carbapenem carboxylate biosynthesis	PWY-5737	
glycine betaine degradation II (mammalian)	PWY-3661-1	
salicylate glucosides biosynthesis I	PWY-6621	salicylate glucosides biosynthesis IV
icosapentaenoate biosynthesis IV (bacteria)	PWY-7050	
trehalose biosynthesis I	TRESYN-PWY	
superpathway of acetyl-CoA biosynthesis	PWY-5173	"acetyl-CoA biosynthesis III (from citrate)"" // ""pyruvate decarboxylation to acetyl CoA"
icosapentaenoate biosynthesis II (6-desaturase, mammals)	PWY-7049	
ternatin C3 biosynthesis	PWY-7280	
3-methylarginine biosynthesis	PWY-6511	
salicylate glucosides biosynthesis IV	PWY-6762	
icosapentaenoate biosynthesis III (8-desaturase, mammals)	PWY-7724	
glycolate and glyoxylate degradation III	PWY-6649	
acetyl-CoA biosynthesis III (from citrate)	PWY-5172	
icosapentaenoate biosynthesis I (lower eukaryotes)	PWY-6958	
ternatin C5 biosynthesis	PWY-5295	
superpathway of neomycin biosynthesis	PWY-7021	"ribostamycin biosynthesis"" // ""paromamine biosynthesis I"" // ""neomycin biosynthesis"
glycine betaine degradation I	PWY-3661	
salicylate biosynthesis I	PWY-6406	
icosapentaenoate biosynthesis V (8-desaturase, lower eukaryotes)	PWY-7602	
trehalose biosynthesis VI	PWY-5983	
L-glutamate degradation VII (to butanoate)	GLUDEG-II-PWY	"pyruvate fermentation to butanoate"" // ""L-glutamate degradation VI (to pyruvate)"
D-apiose degradation II (to D-apionate)	PWY-8093	
cyanidin dimalonylglucoside biosynthesis	PWY-7452	
blasticidin S biosynthesis	PWY-7570	
D-apiose degradation I	PWY-8089	
salicylate glucosides biosynthesis III	PWY-6624	
glycolate and glyoxylate degradation II	GLYOXDEG-PWY	
methanol oxidation to carbon dioxide	PWY-7616	"methanol oxidation to formaldehyde II"" // ""formaldehyde oxidation III (mycothiol-dependent)"
succinate fermentation to butanoate	PWY-5677	
L-tyrosine degradation V (Stickland reaction)	PWY-8016	
ATP biosynthesis	PWY-7980	
superpathway of anthocyanin biosynthesis (from pelargonidin 3-O-glucoside)	PWY-5312	"pelargonidin conjugates biosynthesis"" // ""salvianin biosynthesis"
actinomycin D biosynthesis	PWY-7718	
NADH to hydrogen peroxide electron transfer	PWY0-1590	
salicylate glucosides biosynthesis II	PWY-6623	
trehalose biosynthesis III	TREHALOSESYN-PWY	
D-galactose detoxification	PWY-3821	
acetyl-CoA fermentation to butanoate II	PWY-5676	acetate and ATP formation from acetyl-CoA I
